	transitivity	authority	pagerank	eigenvector_centrality	closeness	betweenness
LivMet_65	0.06167616509482176	0.0011148429706393196	1.5921538657495858e-05	0.00111484297064462	1.6455731057200525e-05	8265.397544898742
LivMet_57	0.01452600215057639	0.0008833727442966592	0.00012615112905260502	0.0008833727442967172	0.00012616460319985644	1.0541188343635675
LivMet_27	0.011698762162261582	0.001291073811013043	0.00011587485515643103	0.0012910738110125967	0.00011589142988390379	1.7665121668597914
LivMet_79	0.008333333333333333	0.0014944705693335063	0.00029481132075471697	0.001494470569333792	0.00029483230536726416	0.0816627358490566
LivMet_2	0.024396011173119604	0.0011537757528074732	0.00010040160642570282	0.0011537757528083368	0.00010050063126953814	27.759236947791166
LivMet_84	0.01327566732061114	0.0018151559707409858	0.00018726591760299626	0.00181515597074107	0.00018729215001264245	0.9237827715355805
LivMet_91	0.037903366068424274	0.0009143256355606402	3.689356207341819e-05	0.0009143256355609588	3.7385722910348135e-05	1652.3348459693743
LivMet_42	0.013650222920911925	0.0014479667208331275	0.00012596044841919638	0.001447966720831012	0.0001260422667695209	13.339337448041316
LivMet_32	0.05588711100599794	0.0017065809941332424	2.684996241005262e-05	0.001706580994132911	2.7410392812058986e-05	3358.4145902695914
LivMet_70	0.024180605296603097	0.0009129039446139001	6.108362348054486e-05	0.0009129039446145657	6.116903883966976e-05	87.56068657992789
LivMet_45	0.024076497063655642	0.0010778387659278578	0.00010191602119853238	0.0010778387659271743	0.00010195316567325336	6.83265389319201
LivMet_35	0.03136368068471779	0.0012199341823913067	4.74878905879001e-05	0.001219934182390851	4.7788538626144795e-05	847.2818881185294
LivMet_29	0.03317335000256599	0.0011868692955863084	4.525706010137581e-05	0.0011868692955892628	4.5430416135888495e-05	331.9153240405502
LivMet_59	0.02286000537431658	0.0013875993121724437	7.434391495056131e-05	0.0013875993121728852	7.443133555479828e-05	59.67251505464278
LivMet_77	0.03099072822010567	0.0010515123479461943	5.663476241717165e-05	0.0010515123479464493	5.6795365596206826e-05	209.2969926941156
LivMet_12	0.05069754385386562	0.0012211739122080692	2.259121201852479e-05	0.0012211739122078603	2.306539148406507e-05	4228.562814865019
LivMet_62	0.012619213838876275	0.0012513580585478588	0.00012319822594554638	0.0012513580585478436	0.00012322550830778077	3.626586177159049
LivMet_50	0.024961031394953044	0.0010638188767931836	5.930846331771544e-05	0.0010638188767912696	5.9403955781010266e-05	95.47227329339896
LivMet_20	0.006487025948103792	0.001528863099058894	0.000332667997338656	0.0015288630990589417	0.0003326895291090818	0.07584830339321358
LivMet_83	0.04120546622972957	0.0010519908990486411	3.036467980445147e-05	0.0010519908990493537	3.0780881105742885e-05	2204.4440530774614
LivMet_5	0.01945579646569402	0.0012872856738021079	8.682062858135096e-05	0.0012872856738014333	8.694959035421732e-05	90.58412918909535
LivMet_49	0.021180598045084025	0.0008766565959606408	6.230529595015576e-05	0.0008766565959594537	6.242583671380549e-05	157.10267912772585
LivMet_39	0.035932462151808384	0.001026628016501383	4.276062601556488e-05	0.0010266280164997219	4.31210294321033e-05	851.1353801419656
LivMet_67	0.04073973845532325	0.0008760253942156463	3.227784771311449e-05	0.0008760253942182527	3.272421327760082e-05	2362.7570123624105
LivMet_17	0.030595254302963004	0.0013799536551161694	4.523863379325944e-05	0.0013799536551190855	4.5423608704022e-05	356.80728342004056
LivMet_86	0.013117424305061763	0.000842418271577089	0.00011575413821044105	0.0008424182715769644	0.000115767575584008	1.4255122120615813
LivMet_25	0.03305634842146825	0.0013058636348587255	5.429765977086389e-05	0.001305863634858967	5.4544902212294516e-05	312.5467774338923
LivMet_55	0.0071416454622561494	0.002213037488446351	0.0005089058524173028	0.002213037488446141	0.0005089451894288627	0.04071246819338423
LivMet_30	0.044119486919144406	0.001847335734690744	3.0455306837216384e-05	0.0018473357346883105	3.0957241765455944e-05	3001.339454849999
LivMet_40	0.01673970719727177	0.0021884049736945513	0.00014760147601476016	0.00218840497369447	0.00014770694009174382	10.823321033210332
LivMet_93	0.02681767557316606	0.0012758426821688166	6.972042111134351e-05	0.0012758426821691874	6.98733529483011e-05	129.7271142717702
